target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.37,0.3409986032320002,4,0.3409986032320002,0.6590013967679997,0.5934549192,0.583936,0.34113847983999995,0.6588615201600001,0.8981713656000001,0.584016,1000,False,0.3277,2479,0.00183094293561184,11363,146004
0.37,0.34099860323200026,5,0.34099860323200026,0.6590013967679997,0.5934549192,0.583936,0.340896007808,0.659103992192,0.8988307256000001,0.583808,1000,False,0.3293,2438,0.0021257212268448226,11319,145952
0.37,0.3409986032320002,6,0.3409986032320002,0.6590013967679997,0.5934549192,0.583936,0.341021498464,0.658978501536,0.8979411183999999,0.583916,1000,False,0.3325,2453,0.0036090225563909775,11403,145979
0.37,0.34099860323200026,7,0.34099860323200026,0.6590013967679997,0.5934549192,0.583936,0.3411154888639999,0.6588845111360001,0.8986494664,0.583996,1000,False,0.3315,2442,0.0036199095022624436,11368,145999
0.37,0.3409986032320002,8,0.3409986032320002,0.6590013967679997,0.5934549192,0.583936,0.34115790304,0.65884209696,0.8993607431999999,0.584032,1000,False,0.3283,2420,0.003045994517209869,11258,146008
0.37,0.34099860323200026,9,0.34099860323200026,0.6590013967679997,0.5934549192,0.583936,0.3410727653440001,0.6589272346559999,0.8976189096,0.58396,1000,False,0.3366,2417,0.00267379679144385,11413,145990
0.41000000000000003,0.37786113971200025,0,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.377721372352,0.622278627648,0.9092910952,0.614544,1000,False,0.3191,2437,0.0025070510811657787,11112,153636
0.41000000000000003,0.3778611397120002,1,0.3778611397120002,0.6221388602879998,0.6238755072,0.614692,0.3779225439040001,0.6220774560959998,0.9088021824000001,0.614708,1000,False,0.3182,2514,0.00251414204902577,11251,153677
0.41000000000000003,0.37786113971200025,2,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.37797170547199993,0.622028294528,0.9085866391999999,0.614748,1000,False,0.3224,2500,0.003101736972704715,11291,153687
0.41000000000000003,0.37786113971200025,3,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.37774136822400006,0.6222586317759999,0.9099980832000001,0.61456,1000,False,0.3159,2497,0.0025324469768914213,11181,153640
0.41000000000000003,0.37786113971200025,4,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.37790826812800005,0.622091731872,0.9095485528,0.614696,1000,False,0.3166,2475,0.002526847757422615,11140,153674
0.41000000000000003,0.37786113971200025,5,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.3775741830080001,0.6224258169919998,0.9097463671999999,0.614424,1000,False,0.3159,2493,0.0022158911047799935,11155,153606
0.41000000000000003,0.37786113971200025,6,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.37789276982400005,0.622107230176,0.9084915856,0.614684,1000,False,0.3184,2456,0.002512562814070352,11150,153671
0.41000000000000003,0.37786113971200025,7,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.3781927756479999,0.6218072243520001,0.9084479016,0.614928,1000,False,0.3222,2487,0.0021725636250775914,11268,153732
0.41000000000000003,0.37786113971200025,8,0.37786113971200025,0.6221388602879998,0.6238755072,0.614692,0.37800148380799997,0.6219985161920001,0.9091894624000001,0.614772,1000,False,0.3202,2460,0.0024984384759525295,11185,153693
0.41000000000000003,0.3778611397120002,9,0.3778611397120002,0.6221388602879998,0.6238755072,0.614692,0.3776429260159999,0.6223570739840001,0.9096599256,0.61448,1000,False,0.3153,2474,0.002537266095781795,11110,153620
0.45,0.414728082496,0,0.414728082496,0.585271917504,0.6474419376,0.643984,0.4148428744,0.5851571256,0.9191324152,0.644044,1000,False,0.3066,2546,0.0016307893020221786,11083,161011
0.45,0.414728082496,1,0.414728082496,0.585271917504,0.6474419376,0.643984,0.414776312512,0.585223687488,0.9195028752000001,0.643992,1000,False,0.3048,2527,0.001968503937007874,11018,160998
0.45,0.414728082496,2,0.414728082496,0.585271917504,0.6474419376,0.643984,0.41487402064,0.58512597936,0.9193205792000001,0.644068,1000,False,0.3059,2542,0.002288329519450801,11063,161017
