p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.23999999999999996,4,19800,2375,4.435,18489,False,True,False,1989235,244411,0.10942244205214255,0.2453,2453,0.00040766408479412964,9701,-1
0.23999999999999996,5,19800,2480,4.456,20146,False,True,False,1958818,242648,0.11022109812279636,0.2456,2456,0.00040716612377850165,9722,-1
0.23999999999999996,6,19800,2396,4.4392,20114,False,True,False,1874155,241759,0.1142574792737323,0.2448,2448,0.0004084967320261438,9676,-1
0.23999999999999996,7,19800,2414,4.4428,19294,False,True,False,1982846,229865,0.10388387819285935,0.2463,2463,0.0004060089321965083,9735,-1
0.23999999999999996,8,19800,2455,4.451,19244,False,True,False,2025652,244478,0.10769339200838718,0.2388,2388,0.0004187604690117253,9437,-1
0.23999999999999996,9,19800,2352,4.4304,19396,False,True,False,2031591,312082,0.13315936139555304,0.236,2360,0.000423728813559322,9323,-1
0.25999999999999995,0,19800,2630,4.486,18692,False,True,False,1992676,258681,0.11490003584504813,0.2389,2389,0.0004185851820845542,9434,-1
0.25999999999999995,1,19800,2639,4.4878,22734,False,True,False,1937715,212226,0.09871247629586115,0.2402,2402,0.00041631973355537054,9496,-1
0.25999999999999995,2,19800,2619,4.4838,18579,False,True,False,1900930,248397,0.1155696643647058,0.2439,2439,0.0004100041000410004,9651,-1
0.25999999999999995,3,19800,2637,4.4874,22885,False,True,False,1952540,259000,0.11711296200837426,0.2424,2424,0.00041254125412541255,9575,-1
0.25999999999999995,4,19800,2571,4.4742,24367,False,True,False,2015617,260061,0.11427846997685964,0.2418,2418,0.00041356492969396195,9561,-1
0.25999999999999995,5,19800,2600,4.48,20929,False,True,False,1903371,301996,0.1369368454320755,0.2435,2435,0.0004106776180698152,9621,-1
0.25999999999999995,6,19800,2612,4.4824,19889,False,True,False,2019801,220349,0.09836350244403276,0.2421,2421,0.0004130524576621231,9571,-1
0.25999999999999995,7,19800,2662,4.4924,35658,False,True,False,2028182,260316,0.11374971706333149,0.2367,2367,0.0004224757076468103,9359,-1
0.25999999999999995,8,19800,2604,4.4808,12628,False,True,False,2041114,248562,0.10855771733642663,0.2407,2407,0.0004154549231408392,9511,-1
0.25999999999999995,9,19800,2671,4.4942,22022,False,True,False,1954920,290206,0.1292604513065191,0.241,2410,0.0004149377593360996,9532,-1
0.27999999999999997,0,19800,2745,4.509,16483,False,True,False,2035963,252546,0.11035394660890563,0.2379,2379,0.0004203446826397646,9403,-1
